log level: INFO
Words to send: 2689
connecting...
will reset reader state on connect
will start inventory on connect
using antennas: (1,)
connected to ('192.168.10.102', 5084)
requested modulation: WISP5
using reader mode: {'C': 0, 'MaxTari': 6250, 'M': 2, 'PIE': 1500, 'StepTari': 0, 'R': 1, 'FLM': 2, 'MinTari': 6250, 'ModeIdentifier': 0, 'BDR': 640000, 'Mod': 0}
stopping politely
reader finished inventory
starting inventory
Read EPC: 13370000000000, 1
Read EPC: 1337b105000000, 1
Next block: 0302640069(0/2689) --- Time elapsed: 0.266 secs
Read EPC: 1337b105000000, 1
Read EPC: 1337b105000000, 1
Read EPC: 1337b105000000, 1
Read EPC: 1337b105000000, 1
Read EPC: 1337b105000000, 1
Read EPC: 1337b105000000, 1
Read EPC: 1337b105000000, 1
Read EPC: 1337b105000000, 1
Read EPC: 1337b105000000, 4
Read EPC: 13370302640069, 4
Next block: 0302640271(1/2689) --- Time elapsed: 0.515 secs
Read EPC: 13370302640069, 2
Read EPC: 13370302640069, 3
Read EPC: 13370302640069, 4
Read EPC: 13370302640069, 4
Read EPC: 13370302640069, 4
Read EPC: 13370302640069, 2
Read EPC: 13370302640069, 4
Read EPC: 13370302640069, 4
Read EPC: 13370302640069, 4
Read EPC: 13370302640069, 3
Read EPC: 13370302640069, 4
Read EPC: 13370302640069, 4
Read EPC: 13370302640069, 4
Read EPC: 13370302640069, 1
Read EPC: 13370302640069, 4
Read EPC: 13370302640271, 4
Next block: 030264046d(2/2689) --- Time elapsed: 0.791 secs
Read EPC: 13370302640271, 4
Read EPC: 13370302640271, 4
Read EPC: 13370302640271, 4
Read EPC: 13370302640271, 4
Read EPC: 13370302640271, 4
Read EPC: 13370302640271, 4
Read EPC: 13370302640271, 4
Read EPC: 13370302640271, 3
Read EPC: 13370302640271, 4
Read EPC: 13370302640271, 0
Read EPC: 13370302640271, 4
Read EPC: 13370302640271, 4
Read EPC: 13370302640271, 4
Read EPC: 1337030264046d, 4
Next block: 0302640617(3/2689) --- Time elapsed: 1.035 secs
Read EPC: 1337030264046d, 4
Read EPC: 1337030264046d, 4
Read EPC: 1337030264046d, 4
Read EPC: 1337030264046d, 4
Read EPC: 1337030264046d, 4
Read EPC: 1337030264046d, 4
Read EPC: 1337030264046d, 4
Read EPC: 1337030264046d, 4
Read EPC: 1337030264046d, 4
Read EPC: 1337030264046d, 4
Read EPC: 1337030264046d, 4
Read EPC: 1337030264046d, 4
Read EPC: 1337030264046d, 1
Read EPC: 1337030264046d, 2
Read EPC: 1337030264046d, 4
Read EPC: 13370302640617, 4
Next block: 0302640871(4/2689) --- Time elapsed: 1.311 secs
Read EPC: 13370302640617, 4
Read EPC: 13370302640617, 4
Read EPC: 13370302640617, 4
Read EPC: 13370302640617, 4
Read EPC: 13370302640617, 4
Read EPC: 13370302640617, 4
Read EPC: 13370302640617, 4
Read EPC: 13370302640617, 4
Read EPC: 13370302640617, 4
Read EPC: 13370302640617, 4
Read EPC: 13370302640617, 4
Read EPC: 13370302640617, 4
Read EPC: 13370302640617, 4
Read EPC: 13370302640871, 4
